ID,Name,Type,Date / Period,Location,Created By / Associated With,Detailed Historical Background,Additional Notes / Facts,Museum / Location,Discovered or Created by,Image_URL
43,Siwa Oasis and Oracle of Amun,Religious site / Oasis,Pharaonic to modern use,Siwa Oasis (Western Desert),Local rulers and oracle cults,Siwa’s oracle of Amun was famed in antiquity (visited by Alexander the Great) and the oasis preserves distinctive Siwan cultural traits. (See site for detailed history.),,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Siwa+Oasis+and+Oracle+of+Amun
44,Faiyum Portraits (Mummy portraits),Artifact type (portraits),Roman Period (1st–3rd centuries AD),Faiyum Oasis,Roman-era workshops,"The Faiyum mummy portraits are realistic painted portraits attached to mummies, reflecting Greco-Roman-Egyptian cultural fusion in Roman Egypt. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Faiyum+Portraits+%28Mummy+portraits%29
45,Nubian Museum (Aswan),Museum,Opened 1997 (modern),Aswan,Egyptian authorities and local communities,"The Nubian Museum documents Nubia’s archaeology, culture and recent displacement due to Aswan dam projects, focusing on archaeological salvage and cultural resilience. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Nubian+Museum+%28Aswan%29
46,Kalabsha Temple,Temple (relocated),Ptolemaic-Roman origins; relocated 1960s,"Kalabsha (now New Kalabsha, near Aswan)",Dedicated to Mandulis,Kalabsha was relocated as part of the UNESCO Nubia salvage project and preserves Ptolemaic-Roman reliefs and inscriptions. (See site for detailed history.),,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Kalabsha+Temple
47,Aswan High Dam,Modern Infrastructure,1960–1970 (modern),Aswan (Nile),Egyptian government with international partners,"The Aswan High Dam transformed Nile management, creating Lake Nasser and necessitating international salvage operations to relocate monuments like Abu Simbel and Philae. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Aswan+High+Dam
48,Mastaba of Ti,Mastaba / Tomb,c. 2450 BC (5th Dynasty),Saqqara,Official Ti,"Famous for its high-quality reliefs depicting daily life, boats and agricultural scenes, providing vivid imagery of Old Kingdom society. (See site for detailed history.)",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Mastaba+of+Ti
49,Merenptah Stele,Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Merenptah Stele is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Merenptah+Stele
50,Narmer Palette,Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Narmer Palette is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Narmer+Palette
51,Sabu Disk,Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Sabu Disk is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Sabu+Disk
52,White Chapel of Senusret I,Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"White Chapel of Senusret I is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=White+Chapel+of+Senusret+I
53,Deir el-Medina (Workers' Village),Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Deir el-Medina (Workers' Village) is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Deir+el-Medina+%28Workers%27+Village%29
54,Ramesseum (Mortuary Temple of Ramses II),Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Ramesseum (Mortuary Temple of Ramses II) is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Ramesseum+%28Mortuary+Temple+of+Ramses+II%29
55,Tomb of Nefertari (QV66),Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Tomb of Nefertari (QV66) is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Tomb+of+Nefertari+%28QV66%29
56,KV9 (Tomb of Ramses V/VI),Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"KV9 (Tomb of Ramses V/VI) is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=KV9+%28Tomb+of+Ramses+V%2FVI%29
57,KV17 (Tomb of Seti I),Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"KV17 (Tomb of Seti I) is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=KV17+%28Tomb+of+Seti+I%29
58,Meidum Pyramid,Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Meidum Pyramid is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Meidum+Pyramid
59,Hawara Pyramid Complex,Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Hawara Pyramid Complex is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Hawara+Pyramid+Complex
60,Tomb of Rekhmire,Monument / Artifact / Site,Various (Ancient to Late Period),Egypt (various),Various ancient patrons,"Tomb of Rekhmire is an important element of Egypt's archaeological record, contributing to knowledge about political, religious, or social life in its period. Scholars study such sites/artifacts to trace technological, artistic, and ideological developments across Egyptian history. Finds often appear in museum collections or in situ contexts, and they are key to reconstructing chronological and cultural sequences.",,,,https://commons.wikimedia.org/wiki/Special:MediaSearch?search=Tomb+of+Rekhmire
